-- run 1 events --
class          start      dur     rest
  0 (class)   210.26     1.50     0.28
  0 (class)   212.04     1.50     0.05
  0 (class)   213.59     1.50     0.36
  0 (class)   215.45     1.50     0.26
  0 (class)   217.21     1.50     0.30
  0 (class)   219.01     1.50     0.13
  0 (class)   220.64     1.50     0.16
  0 (class)   222.30     1.50     0.22
  0 (class)   224.02     1.50     0.50
  0 (class)   226.02     1.50     0.50
  0 (class)   228.02     1.50     0.44
  0 (class)   229.96     1.50     0.46
  0 (class)   231.92     1.50     0.29
  0 (class)   233.71     1.50     0.03
  0 (class)   235.24     1.50     0.02
  0 (class)   236.76     1.50     0.22
  0 (class)   238.48     1.50     0.18
  0 (class)   240.16     1.50     0.25
  0 (class)   241.91     1.50     0.23
  0 (class)   243.64     1.50     0.36
  0 (class)   245.50     1.50     0.16
  0 (class)   247.16     1.50     0.17
  0 (class)   248.83     1.50     0.45
  0 (class)   250.78     1.50     0.36
  0 (class)   252.64     1.50     0.37
  0 (class)   254.51     1.50     0.19
  0 (class)   256.20     1.50     0.13
  0 (class)   257.83     1.50     0.27
  0 (class)   259.60     1.50     0.08
  0 (class)   261.18     1.50     0.18
  0 (class)   262.86     1.50     0.14
  0 (class)   264.50     1.50     0.00

-- run 3 events --
class          start      dur     rest
-----          -----     ----     ----
  0 (class)    10.00     1.50     0.50
  0 (class)    12.00     1.50     0.23
  0 (class)    13.73     1.50     0.48
  0 (class)    15.71     1.50     0.34
  0 (class)    17.55     1.50     0.15
  0 (class)    19.20     1.50     0.38
  0 (class)    21.08     1.50     0.08
  0 (class)    22.66     1.50     0.46
  0 (class)    24.62     1.50     0.37
  0 (class)    26.49     1.50     0.11
  0 (class)    28.10     1.50     0.46
  0 (class)    30.06     1.50     0.10
  0 (class)    31.66     1.50     0.43
  0 (class)    33.59     1.50     0.21
  0 (class)    35.30     1.50     0.38
  0 (class)    37.18     1.50     0.47
  0 (class)    39.15     1.50     0.04
  0 (class)    40.69     1.50     0.07
  0 (class)    42.26     1.50     0.44
  0 (class)    44.20     1.50     0.37
  0 (class)    46.07     1.50     0.29
  0 (class)    47.86     1.50     0.48
  0 (class)    49.84     1.50     0.50
  0 (class)    51.84     1.50     0.36
  0 (class)    53.70     1.50     0.03
  0 (class)    55.23     1.50     0.24
  0 (class)    56.97     1.50     0.12
  0 (class)    58.59     1.50     0.25
  0 (class)    60.34     1.50     0.45
  0 (class)    62.29     1.50     0.15
  0 (class)    63.94     1.50     0.06
  0 (class)    65.50     1.50     0.46
  0 (class)    67.46     1.50     0.28
  0 (class)    69.24     1.50     0.48
  0 (class)    71.22     1.50     0.03
  0 (class)    72.75     1.50     0.18
  0 (class)    74.43     1.50     0.38
  0 (class)    76.31     1.50     0.49
  0 (class)    78.30     1.50     0.50
  0 (class)    80.30     1.50     0.41
  0 (class)    82.21     1.50     0.39
  0 (class)    84.10     1.50     0.28
  0 (class)    85.88     1.50     0.34
  0 (class)    87.72     1.50     0.06
  0 (class)    89.28     1.50     0.17
  0 (class)    90.95     1.50     0.48
  0 (class)    92.93     1.50     0.15
  0 (class)    94.58     1.50     0.03
  0 (class)    96.11     1.50     0.20
  0 (class)    97.81     1.50     0.40
  0 (class)    99.71     1.50     0.27
  0 (class)   101.48     1.50     0.42
  0 (class)   103.40     1.50     0.47
  0 (class)   105.37     1.50     0.13
  0 (class)   107.00     1.50     0.07
  0 (class)   108.57     1.50     0.19
  0 (class)   110.26     1.50     0.38
  0 (class)   112.14     1.50     0.34
  0 (class)   113.98     1.50     0.43
  0 (class)   115.91     1.50     0.47
  0 (class)   117.88     1.50     0.31
  0 (class)   119.69     1.50     0.19
  0 (class)   121.38     1.50     0.21
  0 (class)   123.09     1.50     0.13
  0 (class)   124.72     1.50     0.49
  0 (class)   126.71     1.50     0.24
  0 (class)   128.45     1.50     0.48
  0 (class)   130.43     1.50     0.06
  0 (class)   131.99     1.50     0.38
  0 (class)   133.87     1.50     0.29
  0 (class)   135.66     1.50     0.16
  0 (class)   137.32     1.50     0.28
  0 (class)   139.10     1.50     0.22
  0 (class)   140.82     1.50     0.38
  0 (class)   142.70     1.50     0.47
  0 (class)   144.67     1.50     0.09
  0 (class)   146.26     1.50     0.30
  0 (class)   148.06     1.50     0.21
  0 (class)   149.77     1.50     0.09
  0 (class)   151.36     1.50     0.27
  0 (class)   153.13     1.50     0.27
  0 (class)   154.90     1.50     0.48
  0 (class)   156.88     1.50     0.38
  0 (class)   158.76     1.50     0.49
  0 (class)   160.75     1.50     0.38
  0 (class)   162.63     1.50     0.11
  0 (class)   164.24     1.50     0.20
  0 (class)   165.94     1.50     0.26
  0 (class)   167.70     1.50     0.15
  0 (class)   169.35     1.50     0.33
  0 (class)   171.18     1.50     0.24
  0 (class)   172.92     1.50     0.36
  0 (class)   174.78     1.50     0.07
  0 (class)   176.35     1.50     0.03
  0 (class)   177.88     1.50     0.41
  0 (class)   179.79     1.50     0.31
  0 (class)   181.60     1.50     0.15
  0 (class)   183.25     1.50     0.50
  0 (class)   185.25     1.50     0.50
  0 (class)   187.25     1.50     0.19
  0 (class)   188.94     1.50     0.27
  0 (class)   190.71     1.50     0.14
  0 (class)   192.35     1.50     0.06
  0 (class)   193.91     1.50     0.03
  0 (class)   195.44     1.50     0.14
  0 (class)   197.08     1.50     0.31
  0 (class)   198.89     1.50     0.24
  0 (class)   200.63     1.50     0.09
  0 (class)   202.22     1.50     0.41
  0 (class)   204.13     1.50     0.20
  0 (class)   205.83     1.50     0.02
  0 (class)   207.35     1.50     0.16
  0 (class)   209.01     1.50     0.01
  0 (class)   210.52     1.50     0.45
  0 (class)   212.47     1.50     0.45
  0 (class)   214.42     1.50     0.39
  0 (class)   216.31     1.50     0.41
  0 (class)   218.22     1.50     0.47
  0 (class)   220.19     1.50     0.50
  0 (class)   222.19     1.50     0.37
  0 (class)   224.06     1.50     0.11
  0 (class)   225.67     1.50     0.43
  0 (class)   227.60     1.50     0.14
  0 (class)   229.24     1.50     0.17
  0 (class)   230.91     1.50     0.16
  0 (class)   232.57     1.50     0.46
  0 (class)   234.53     1.50     0.14
  0 (class)   236.17     1.50     0.31
  0 (class)   237.98     1.50     0.38
